timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour
2022-08-04 04:00:00+00:00,130.18,130.54,127.82,24672,128.13,1606702,129.388725,2022,8,4,4
2022-08-05 04:00:00+00:00,131.44,131.53,127.57,37158,128.46,2419613,130.241501,2022,8,5,4
2022-08-08 04:00:00+00:00,132.03,133.25,130.69,38768,131.93,2710351,132.22615,2022,8,8,4
2022-08-09 04:00:00+00:00,129.91,131.98,128.82,25295,131.26,1807556,130.074017,2022,8,9,4
2022-08-10 04:00:00+00:00,133.04,133.05,130.59,24448,131.62,1556419,131.880338,2022,8,10,4
2022-08-11 04:00:00+00:00,131.29,135.08,130.81,30466,133.097,2172502,132.320901,2022,8,11,4
2022-08-12 04:00:00+00:00,132.52,132.87,131.09,24003,131.48,1364026,132.190783,2022,8,12,4
2022-08-15 04:00:00+00:00,134.82,134.93,131.96,21630,131.96,1592016,134.018481,2022,8,15,4
2022-08-16 04:00:00+00:00,132.99,134.65,132.11,23975,134.24,1487366,132.963998,2022,8,16,4
2022-08-17 04:00:00+00:00,130.4,132.41,130.0,26453,131.52,1501576,130.807019,2022,8,17,4
2022-08-18 04:00:00+00:00,128.92,130.2,127.89,25578,130.19,1761019,128.58436,2022,8,18,4
2022-08-19 04:00:00+00:00,127.65,128.6185,127.19,25310,127.8,1537045,127.75517,2022,8,19,4
2022-08-22 04:00:00+00:00,125.61,127.9474,125.07,23098,126.79,1383012,126.180975,2022,8,22,4
2022-08-23 04:00:00+00:00,125.37,125.92,124.0,19564,125.39,1216205,124.939379,2022,8,23,4
2022-08-24 04:00:00+00:00,127.07,127.52,124.82,29082,125.605,2099509,126.834858,2022,8,24,4
2022-08-25 04:00:00+00:00,127.45,128.23,126.09,13292,127.78,788751,127.090339,2022,8,25,4
2022-08-26 04:00:00+00:00,122.95,127.5,122.55,28791,127.32,1716873,124.464361,2022,8,26,4
2022-08-29 04:00:00+00:00,122.1,123.27,121.22,20174,121.45,1059005,122.300388,2022,8,29,4
2022-08-30 04:00:00+00:00,121.14,122.91,120.51,22195,122.52,1372814,121.407106,2022,8,30,4
2022-08-31 04:00:00+00:00,121.46,123.23,120.91,27969,121.9,1605843,121.676834,2022,8,31,4
2022-09-01 04:00:00+00:00,123.22,123.44,119.92,32259,121.02,2263793,121.998915,2022,9,1,4
2022-09-02 04:00:00+00:00,121.19,124.2093,120.68,36120,124.15,1873101,122.631711,2022,9,2,4
2022-09-06 04:00:00+00:00,119.54,121.63,119.34,44513,121.63,2892633,119.991619,2022,9,6,4
2022-09-07 04:00:00+00:00,122.89,123.26,119.31,21774,119.43,1418451,122.063577,2022,9,7,4
2022-09-08 04:00:00+00:00,126.98,127.33,122.77,63355,123.24,5050485,125.781741,2022,9,8,4
2022-09-09 04:00:00+00:00,128.4,128.95,126.97,26154,127.25,1375492,128.232014,2022,9,9,4
2022-09-12 04:00:00+00:00,128.63,128.9,127.68,20605,128.84,1218599,128.395941,2022,9,12,4
2022-09-13 04:00:00+00:00,122.84,126.39,122.63,34862,125.86,2156164,123.796281,2022,9,13,4
2022-09-14 04:00:00+00:00,123.92,124.32,122.46,39533,123.12,2113904,123.43532,2022,9,14,4
2022-09-15 04:00:00+00:00,124.05,125.35,123.02,30492,123.9,1948697,124.030242,2022,9,15,4
2022-09-16 04:00:00+00:00,122.96,123.35,121.48,35071,122.67,2083185,122.409203,2022,9,16,4
